WeatherPy_vacation_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Lokoja,NG,85.89,broken clouds,7.8024,6.742999999999999,Hotel Charvid
590,Sapele,NG,77.79,broken clouds,5.8941,5.6767,Movig Hotel & Suites
598,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
599,Finschhafen,PG,86.13,light rain,-6.6024,147.8681,Cossam Guest House
601,Salta,AR,78.8,light rain,-24.7859,-65.4117,Hotel Alejandro I
602,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
604,Mercedes,AR,75.99,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
612,Hobyo,SO,76.44,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
621,Mahajanga,MG,80.6,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
623,Custodia,BR,79.88,overcast clouds,-8.0875,-37.6431,Hotel do Sertão
624,Santo Antonio Do Ica,BR,77.13,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
625,Upata,VE,84.99,broken clouds,8.0086,-62.3989,Posada Villa Nela
628,Sumenep,ID,76.21,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
635,Axim,GH,79.38,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
637,Port Macquarie,AU,75.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
638,Sabang,ID,80.6,heavy intensity rain,5.8933,95.3214,Hotel Citra
639,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
640,Alappuzha,IN,77.13,scattered clouds,9.49,76.3264,Panoramic Sea Resort
641,Manggar,ID,78.17,overcast clouds,-2.8833,108.2667,Guest Hotel
642,Santa Cruz,BO,80.6,broken clouds,-17.8,-63.1667,Hotel Cortez
643,Lorengau,PG,84.11,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
645,Tulagi,SB,82.81,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
653,Mutis,CO,79.38,light rain,6.2262,-77.4044,Paraiso Escondido
659,San-Pedro,CI,77.9,few clouds,4.7485,-6.6363,Hotel Maria
